Сервис,Дата,Оценка,Текст отзыва,Ключевые слова
Spotify,2026-08-28 22:46,1,"да чё за херь творится?? удаляю песни из плейлиста, по цифрам уже дофига ушло, а на деле ничего. который раз одни и те же песни удаляю, и так понимаю попусту. про бесконечную рекламу можно и не говорить, общеизвестный факт. но куда хуже уже",одни и те же
Spotify,2026-08-24 08:37,1,если выключить нон стоп все равно вклбчаеитсья обратно последние нервы потратил думал с кайфом по слушаю музыку а нет эти рандомные песни выключаються ужасно,рандом
Spotify,2026-08-24 06:57,2,"приложение классное, но разработчики!! пожалуйста верните что можно было ставить песню обратно с кнопкой ◀ и пожалуйста!! верните функцию повторять песню еще раз а не ставить на рандом","повторя, рандом"
Spotify,2026-08-20 18:11,1,"здравствуйте разработчики спотифай!я хотела бы сказать что из-за обновления и до обновление,у меня не включается песня которую я хочу включить,пожалуйста исправтье это!эта ошибка повторяется уже второй день!",повторя
Spotify,2026-08-14 21:22,1,здравствуйте. приложение было шикарное но щас ну им просто пользоваться невозможно иза того что нельзя перелистывать песни просто невозможно оно просто перекидывает на рандом,рандом
Spotify,2026-08-14 16:13,1,"первые дни всё отлично, но потом рекламы становится дохерище. слушать музыку невозможно-она буквально после каждого трека! на планшете ещё ладно, но на телефоне переключение и перемотка песен вдруг стали платной функцией. сама врубается функция «перемешивание», которую я не включала. вы просто делаете базовые удобства платными и душите пользователей рекламой. всё желание пользоваться вашим приложением полностью исчезло.",перемешив
Spotify,2026-08-12 13:59,1,"неудобно. пользователи без подписки не могут перемотать трек назад, выбрать песню, которая нужна им (только в рандомном порядке) и на некоторых устройствах даже посмотреть текст песни, хотя раньше эти функции были основой каждого плеера. я в курсе, что можно купить подписку, но почему люди должны тратить деньги на базовые удобства? большинство людей просто удалит приложение, и будут правы.",рандом
Spotify,2026-08-12 13:37,1,"проще в ютубе послушать музыку причём бесплатно без перемешиваний и ограничений в пролистывании, качество звука отстой",перемешив
Spotify,2026-08-12 12:10,1,"первые 2 недели были очень хороши, после чего пропала возможность перематывать музыку на определенное время, треки повторяются несколько раз (могут каждые 3-4 трека), реклама подписки споти длится по 30 секунд каждые 2-3 трека (но если слушать без впна, то рекламы нет). сегодня пропали абсолютно все треки, из-за чего было невозможно послушать ни свои добавленные в избранные треки, ни плейлисты, созданные другими людьми или подборкой. итог: без подписки приложение становится ничем.",повторя
Spotify,2026-08-11 18:13,1,"приложение испортили, если раньше была 1 реклама и то редко, щас после каждой 2-3 песни реклама и не одна а две, без премиума не возможно слушать, ещё и всегда однотипные рекламы которые всегда повторяются",повторя
Spotify,2026-08-11 09:34,1,рот @бал этого приложения реклама через 2-3 трека и эти гении рекламят в своем же приложении свою же платную подписку тем более без подписки нельза мотать. треки выставлять очередность а недавно мне даже ограничили функцию выставлять нужные треки. музыуа просто будет рандомно выбираться из плейлиста до покупки @ бучей подписки,рандом
Spotify,2026-08-08 07:37,1,"раньше все было ок кроме бесконечной рекламы и того что музыка играет рандомно,но сейчас я не могу послушать вообще ничего. захожу на акк исполнителя-все треки серые(нельзя тапнуть),мои личные плейлисты очистились,а в рекомендациях нет никаких подборок. переустановила приложение-ничего не изменилось. бесполезный мусор на телефоне",рандом
Spotify,2026-08-01 20:38,2,"музыка хорошая и качественная, но вот реклама. 2 рекламы подряд не перебор? а если 2 рекламы подряд через 2 прослушенные песни? перебор. а что на счёт ограничений на телефон? с пк можно перемешивать и пропускать сколько угодно, а на телефоне - нет. почему? можно пропустить песню через 6 часов, серьезно?",перемешив
Spotify,2026-07-27 20:38,2,крутит одни и те же песни,одни и те же
Spotify,2026-07-24 22:49,1,"без премиум а стало слушать музыку вообще невозможно, постоянная реклама, треки идут в рандомном порядке. spotify стал платной помойкой.",рандом
Spotify,2026-07-24 00:55,1,"все чисто для премиума, банально даже песню нельзя перемотать, раньше в разы было лучше,.сейчас же все только с премиумом, невозможно слушать песни по порядку так как они будут скакать как угодно, даже рандомные песни включатся вместо альбома.",рандом
Spotify,2026-07-23 11:34,1,сначала приложение работало нормально не зависала потом в какой-то момент оно начало зависать включать рандомные песни песня не обматывались назад и появилось очень много реклама,рандом
Яндекс Музыка,2026-08-31 01:22,1,"не знаю, что поменяли, но музыка просто стабильно рандомно включается каждый час сама по себе",рандом
Яндекс Музыка,2026-08-30 20:47,2,"если смотреть по интерфейсу и остальным функциям 5/5, но сняла 3 звезды ведь есть огромный минус- неоправданный блюр. в группе, допустим к примеру возьмем группу ""уннв"", половина песен зацензурила не за что, то припев состоящий из повторяющегося слова заблюрен не за что, то упоминание веществ заблюрено, хотя это стиль группы, а не пропаганда. было моим любимым приложением, сидела на подписке яндекс плюс, но как бы я не хотела придётся искать замену. надеюсь разрабы пересмотрят блюры и исправят.",повторя
Яндекс Музыка,2026-08-27 14:09,1,"ассортимент песен у разных исполнителей недостаточно полон. я уверенно перешла на использование данного приложения, удалив старые, и как оказалось,напрасно. очень жаль, что есть такая недоработка. также отмечу, что нет самых оригиналов самых популярных песен,а лишь их переделки разными исполнителями. вдобавок, все это касается не только зарубежных исполнителей, но и российских. если включать ""встряхнуть мою волну"" ,можно проследить через некоторое время,что по кругу играют одни и те же песни.",одни и те же
Яндекс Музыка,2026-08-26 23:49,1,писни не новые и повторяются,повторя
Яндекс Музыка,2026-08-26 09:07,2,"обновиленный дизайн не зашёл! при выборе моя волна или определенного жанра песен, приложение играет 3-5 песен по выбранному исполнению, далее все идёт рандомно. даже если я выбрал играть играть русские песни - через 3-5 песен приложение автоматом добавляет мне иностранные песни и переслать все в кучу.",рандом
Яндекс Музыка,2026-08-24 11:22,1,"все песни удалили, в топ чартах нейро музыка, лицемерие от платформы (некоторых исполнителей заставляют цензурировать треки, а на некоторых закрывают глаза). почти половина 800 из 2000 ""любимых"" треков убрали с платформы, убрали около 30 групп (которые я знаю и слушаю). стал уродский дизайн, невозможно найти то что тебе нужно, фильтры непонятно где, раньше они были на первой странице и ты сам мог их настраивать, а сейчас это рандом и подборка уже настроенных волн от платформы.",рандом
Яндекс Музыка,2026-08-24 03:59,1,"куча нейросетевого шлака, а оригинальные песни часто в live-версиях ужасного качества, как-будто на нокию 3310 записывали. также постоянно при подключении по блютуз к наушникам или любой колонке может рандомно остановить новую песню при переключении. к тому же приложение почему-то до сих пор не может сохранить в памяти последнюю песню и ""волну"", постоянно сбрасывает (может при не использовании день, а может и 30 мин хватить, чтоб приложение обнулилось). и постоянно поднимается цена на это г",рандом
Яндекс Музыка,2026-08-22 07:15,3,приложение до сих пор кривое. при прокрутке плейлиста удаляются песни (ложный свайп в сторону) постоянно перезапускается само но самое отвратительное это цензура рандомных слов в песнях,рандом
Яндекс Музыка,2026-08-21 20:20,1,отвратительное приложение .как собственно и алиса за что деньги платим.каждый день одни и те же песни ставит я уже их ненавижу.у исполнителя 1000 чи песен оно каждый день одно и то же ставит.г полное,одни и те же
Яндекс Музыка,2026-08-21 06:19,2,"после обновления рекомендации музыки ужасно работают, раньше подстраивались под недавно прослушанное, теперь же, видимо, учитывают вообще всё что слушал когда либо и подсовывают одни и те же треки, рекомендации по конкретному треку вообще непонятно как строятся",одни и те же
Яндекс Музыка,2026-08-21 02:29,1,одни и те же треки играют. яндекс музыка скатилась,одни и те же
Яндекс Музыка,2026-08-20 21:37,3,"раньше можно было посмотреть историю прослушиваемых треков, а сейчас уже нет, зачем убирать? самое бесячее, так это то, что в волне постоянно повторяются треки из плейлиста или те, что ты прослушивал ранее. ладно если бы повторялась 1-2 песни, но там буквально одни и те же песни, что я слушала до этого, хотя с интернетом всё нормально. и ведь такое происходит не только на телефоне, но и на пк. короче хз","повторя, одни и те же"
Яндекс Музыка,2026-08-20 10:47,1,"че за бесячая дичь с невозможно проиграть трек, абсолютно рандомная ошибка.",рандом
Яндекс Музыка,2026-08-20 07:21,1,"норм приложение, но после обновления моей волной пользоваться не возможно. ну оставьте вы старые функции, добавив новые! зачем ломать то,что работает? теперь чтобы найти по нужному настроению русские песни или наоборот иностранные, если волна рандомно решила, что здесь нужен определенный язык приходится листать треков 10, потом слушать 1 на нужном языке, даже если он не особо заходит. просто, чтобы волна настроилась. и что если моё понимание занятие не соответствует пониманию разработчиков?",рандом
Яндекс Музыка,2026-08-19 08:35,1,"что-то заигрались вы с персонализацией, музыка одна и та же, стоило отметить что-то в избранное, теперь играет преимущественно этот жанр, и песни повторяются. хотелось бы разнообразия.",повторя
Яндекс Музыка,2026-08-18 19:03,1,"вся музыка повторяется! сколько бы ты не встряхивал эту ""мою волну"" вся музыка повторяется,в любом из представленных тебе режиме,будь это ""поп,рок,реп"" и т.п. дизлайк",повторя
Яндекс Музыка,2026-08-18 16:41,3,"часто самопроизвольно останавливается проигрывание музыки в автомобиле, бегунок движется и возвращается назад, будто заел. помогает нажатие паузы и повторное включение музыки. однако вскоре всё опять повторяется. авто vw tiguan l 2022",повторя
Яндекс Музыка,2026-08-17 10:42,1,уберите автовоспроизведение в рандомные моменты или сделайте тумблер для возможности отключать или скажите где эта кнопка.,рандом
Яндекс Музыка,2026-08-17 10:18,1,"почему из избранного самовольно уходят песни, если в общем доступе они и так есть, потом попадаются и нужно снова в избранное добавлять? дополняю отзыв, 17.08.2026. категорически ее совместим с впн. в самом приложении пишет что-то о настройках энергозатратах, хотя дело не в этом. при ""возвращению"" из нидерландов в страну дела идут лучше, но в рандомный момент приложение отваливается, когда, например, запущена какая-то игра. много классных треков вырезано, много зацензурено. с 3х звезд до 1.",рандом
Яндекс Музыка,2026-08-15 09:48,1,"пользовался несколько лет яндекс музыкой (с подпиской естественно), пока не попробовал tidal, оказывается будто бы всю жизнь был ""глухой"", постоянно думал что аудиоаппаратура недостаточно качественная и тд, почему настолько ужасное качество треков в яндекс музыке? или снг пользователям можно скармливать всё что угодно? в настройках стоит ""превосходное"" качество. единственный + это моя волна, такого нет нигде, но и то со временем она начинает играть одно и то же, треки постоянно повторяются",повторя
Яндекс Музыка,2026-08-15 08:33,2,"«моя волна» превратилась в поток однотипных повторов. я люблю фонк, но алгоритм гоняет по кругу одни и те же треки обычный трек без лайка может крутиться в рекомендациях по 3 недели подряд! к этому добавляются бесконечные slowed, reverb и super slowed версии одних и тех же песен. новых исполнителей нет, кругом либо каверы, либо навязчивые повторы. открывать новую музыку в таком режиме просто невозможно.",одни и те же
Яндекс Музыка,2026-08-14 17:29,1,всегда когда включаю моя волна продаётся одна и та же песня да и те которые мне нравятся хочешь новых песен а играют одни и те же,одни и те же
Яндекс Музыка,2026-08-13 22:32,3,"приложение, скажем так, адекватное, хорошая площадка для продвижения малоизвестных исполнителей из снг, алгоритмы работают немного не понятно, понятно что они подстраивается под мой вкус но при этом предлагают одни и те же песни, не знаю как объяснить правильно чтобы было понятно, самый главный минус, я заметила что у меня при работе приложения фоновом режиме начинает греться телефон, с другими платформах такого нет, не знаю в чем причина, но щамечала это часто",одни и те же
VK Музыка,2026-07-27 17:47,1,"в какие то моменты нельзя прослушать видеоокружки. просто бесконечная загрузка. рандомный баг, который начал проявляться",рандом
VK Музыка,2026-07-17 13:11,1,отвратительное приложение ничего нормально не работает в ленте вместо постов групп на которые подписан какие-то рандомные посты ну и реклама в треках и тнтшники ну классика в общем,рандом
VK Музыка,2026-07-14 08:03,3,"если честно, то до обновления музыки было лучше. а сейчас нечего слушать, новинки, открытия, плейлисты дня уже 3 неделю повторяются песни и нечиго не меняется, раньше музыка менялась каждый день и каждую неделю. по артистам в артистах тоже самое, в одном послушал песню потом переключился на другого артиста а там песня такая же попалась. и что слушать теперь с новым интерфейсом музыки? нечиго.",повторя
VK Музыка,2026-07-13 22:13,1,"приложение превратилось в одноклассники, очень много рекламы, рандом люди в ленте а-ля медийки, публики на которые я не подписан. зачем мне этот шлак, тупо продвижение групп и людей которые заплатили или перешли с тт или ютуб в вк. полный бред, из отличного приложение сделали шлак сивы кобылы. #позор",рандом
VK Музыка,2026-07-13 16:11,3,"лента скатилась на дно, состоит из рекламных постов и рекламных роликов. мало кто стал выкладывать свои фото и посты. видимо разрабы чтобы сделать заполнение, кидают в ленту всяких левых блохеров. короче прост мотаешь рандомный шлак",рандом
VK Музыка,2026-07-13 09:04,2,"приложение не всегда реагирует на пользователя: нажимаешь кнопки, пытаешься открыть какой-то чат, а он не открывается! пытаешься поставить видео на паузу - три раза сработает, один - нет. и переходе в раздел видео почему-то автоматически начинает воспроизводиться последняя видео. как это убрать? непонятно куда скачиваются файлы из вк: на телефоне их нет. приложения в браузере работают как хотят: одни и те же кнопки сегодня одним образом в разные дни",одни и те же
VK Музыка,2026-07-11 22:23,1,"эта помойка с каждым разом пробивает все очередное дно. теперь ваша лента новостей будет состоять на 70% из контента от незнакомых людей, групп, в которых ранее никогда не сидели, не смотрели, не подписывались. и это даже не реклама, нигде нет информации об этом. это реально абсолютно левые посты от рандомов, как правило, очень сомнительного характера. перелопатил и отключил все возможные настройки, ничего не меняется. теперь это не лента с вашими подписками, это какие-то реки из одноклассников",рандом
VK Музыка,2026-07-11 10:47,1,"достало смотреть одни и те же истории, сколько не зайди все одно итоге и не один день. от рекламы уже тошнит, сколько не нажимай что часто вижу, что не интересно все равно моргнула и ровно тоже самое. можно как-то нормально настроить интерфейс чтобы видео которые сохраняешь искать не через закладки, а клипы так и вовсе не найти куда-то сохраняю, а куда не знаю. почему все в одну папку нельзя сложить, тем более я сортирую",одни и те же
VK Музыка,2026-07-11 09:27,1,"одна реклама...... 6 постов с подряд в ленте, из которых 6 рекламных.... 8.07 повторяющиеся посты, одно и то же.... назвались бы рекламная площадка вк с повторяющимися по 100 раз постами.....",повторя
VK Музыка,2026-07-10 15:08,3,"выгрузка фотографий, видео или выгрузить их файлом настоящий ад, особенно если выгрузить нужно много. отдельно видеосообщения, это жесть, отправляются так же как и предыдущее... сначала грузится кучу времени, потом ошибка и переотправить нельзя, только заново делай, и делаешь так раз 5, каждый раз повторяется, потом посылаешь это всё и не хочешь заходить даже в него.....",повторя
VK Музыка,2026-07-10 09:17,3,"данным ""шедевром отечественной импортозамещенной мысли"" можно худо бедно пользоваться. однако, везде (в любом из разделов) тебя будет сопровождать реклама. в ленте каждый третий пост - реклама. после последнего обновления ленту стало тупо невозможно настроить: нажимаешь условно ""не показывать подобное"", а приложению плевать. рекомендации тоже сломали, зачем показывать мне в ленте то, что лайкнули какие-то рандомы из списка друзей. зачастую и уведы не приходят, пока не зайдешь в приложение",рандом
VK Музыка,2026-07-10 07:16,3,"а можно как-то отключить блок ""истории возможных знакомых""? я не хочу видеть истории рандомных людей в своей ленте",рандом
VK Музыка,2026-07-09 14:40,2,почему постоянно виснет приложение и его бесконечно приходится закрывать и открывать? почему при выкладке историй в паблике всё время перебрасывает на первый пост после каждой истории? почему при прикреплении фото в личке выбрасывает в новостную ленту и фото естественно никуда не прикрепляется и не отправляется? почему перестают открываться сообщения в рандомные моменты до перезагрузки приложения?,рандом
VK Музыка,2026-07-08 21:52,1,"теория мёртвого интернета здесь работает отлично. реклама через каждый третий пост, но на нее смотреть даже приятнее, ведь она хотя бы подобрана под меня в отличие от рекомендаций. лента как будто одна на всех пользователей, ооочень часто сталкиваюсь с тем, что у моих знакомых и у меня встречаются одни и те же посты, которые неинтересны ни мне, ни моим знакомым. продолжаю пользоваться этим приложением только из-за отсутствия альтернативы. если бы можно было поставить оценку ниже - я бы поставила",одни и те же
VK Музыка,2026-07-08 15:03,1,"хуже платформы я встречала ,честное слово. вконтакте само изменяет настройки уведомления,просто в раз исчезает комментарии к постам ,приходится каждый раз изменять настройки .вы там разработчики издеваетесь что ли не пойму ? ужасное приложение ,не устану повторять !!!",повторя
VK Музыка,2026-07-08 11:21,3,"допустим с закладками разобрались, хотя это все равно не удобно, вот так каждый раз заходить в закладки. но как мне смотреть понравившиеся клипы, их можно найти в реакциях, но просматривать их неудобно, при свайпе просто открываются рандомные клипы?",рандом
